order_id,item_id,product_id,category,price,quantity,item_total
ORD-100000,1,PROD-HOM-643,Home & Kitchen,4378.63,1,4378.63
ORD-100001,1,PROD-APP-838,Apparel,2095.89,1,2095.89
ORD-100001,2,PROD-HOM-955,Home & Kitchen,1151.81,1,1151.81
ORD-100002,1,PROD-HOM-108,Home & Kitchen,2625.34,2,5250.68
ORD-100003,1,PROD-ELE-881,Electronics,12759.75,1,12759.75
ORD-100004,1,PROD-BEA-762,Beauty & Personal Care,645.89,1,645.89
ORD-100004,2,PROD-ELE-311,Electronics,13075.28,2,26150.56
ORD-100005,1,PROD-ELE-995,Electronics,7264.97,1,7264.97
ORD-100006,1,PROD-GRO-273,Groceries,688.77,1,688.77
ORD-100007,1,PROD-APP-307,Apparel,1548.24,2,3096.48
ORD-100008,1,PROD-APP-772,Apparel,980.5,1,980.5
ORD-100008,2,PROD-GRO-475,Groceries,608.09,1,608.09
ORD-100008,3,PROD-GRO-963,Groceries,941.74,1,941.74
ORD-100009,1,PROD-ELE-918,Electronics,6884.11,1,6884.11
ORD-100010,1,PROD-APP-397,Apparel,1644.31,2,3288.62
ORD-100011,1,PROD-GRO-682,Groceries,1065.43,1,1065.43
ORD-100011,2,PROD-BEA-922,Beauty & Personal Care,1791.86,1,1791.86
ORD-100011,3,PROD-HOM-180,Home & Kitchen,841.32,1,841.32
ORD-100012,1,PROD-HOM-369,Home & Kitchen,3127.0,1,3127.0
ORD-100013,1,PROD-APP-134,Apparel,1860.11,1,1860.11
ORD-100014,1,PROD-ELE-794,Electronics,5263.16,1,5263.16
ORD-100015,1,PROD-BEA-427,Beauty & Personal Care,1623.88,1,1623.88
ORD-100016,1,PROD-APP-961,Apparel,1294.46,1,1294.46
ORD-100016,2,PROD-APP-957,Apparel,1317.92,1,1317.92
ORD-100017,1,PROD-GRO-537,Groceries,1169.74,1,1169.74
ORD-100018,1,PROD-HOM-360,Home & Kitchen,1180.43,1,1180.43
ORD-100019,1,PROD-GRO-882,Groceries,773.56,1,773.56
ORD-100019,2,PROD-APP-604,Apparel,478.98,1,478.98
ORD-100019,3,PROD-HOM-824,Home & Kitchen,3823.55,2,7647.1
ORD-100020,1,PROD-ELE-899,Electronics,14144.95,1,14144.95
ORD-100021,1,PROD-ELE-678,Electronics,12214.04,1,12214.04
ORD-100021,2,PROD-GRO-742,Groceries,966.24,1,966.24
ORD-100022,1,PROD-APP-934,Apparel,1028.85,1,1028.85
ORD-100023,1,PROD-GRO-856,Groceries,693.45,2,1386.9
ORD-100024,1,PROD-BEA-432,Beauty & Personal Care,1384.41,1,1384.41
ORD-100024,2,PROD-GRO-387,Groceries,1184.1,1,1184.1
ORD-100024,3,PROD-HOM-958,Home & Kitchen,2791.38,1,2791.38
ORD-100025,1,PROD-APP-148,Apparel,580.49,2,1160.98
ORD-100025,2,PROD-APP-377,Apparel,998.94,1,998.94
ORD-100026,1,PROD-HOM-889,Home & Kitchen,777.95,1,777.95
ORD-100027,1,PROD-HOM-794,Home & Kitchen,1824.81,1,1824.81
ORD-100028,1,PROD-GRO-647,Groceries,879.82,1,879.82
ORD-100029,1,PROD-ELE-941,Electronics,8076.59,1,8076.59
ORD-100030,1,PROD-APP-537,Apparel,1529.02,2,3058.04
ORD-100031,1,PROD-APP-179,Apparel,2389.74,1,2389.74
ORD-100032,1,PROD-ELE-109,Electronics,2076.39,1,2076.39
ORD-100033,1,PROD-APP-423,Apparel,2123.36,1,2123.36
ORD-100034,1,PROD-HOM-854,Home & Kitchen,851.59,1,851.59
ORD-100035,1,PROD-BEA-925,Beauty & Personal Care,1699.84,1,1699.84
ORD-100035,2,PROD-GRO-188,Groceries,983.71,1,983.71
ORD-100036,1,PROD-GRO-774,Groceries,370.95,1,370.95
ORD-100037,1,PROD-ELE-998,Electronics,1703.95,1,1703.95
ORD-100038,1,PROD-ELE-600,Electronics,11759.08,1,11759.08
ORD-100039,1,PROD-APP-537,Apparel,2352.01,1,2352.01
ORD-100040,1,PROD-APP-473,Apparel,2082.31,1,2082.31
ORD-100041,1,PROD-BEA-914,Beauty & Personal Care,607.19,2,1214.38
ORD-100042,1,PROD-APP-285,Apparel,2229.98,1,2229.98
ORD-100043,1,PROD-ELE-208,Electronics,2814.13,1,2814.13
ORD-100044,1,PROD-APP-566,Apparel,862.02,1,862.02
ORD-100045,1,PROD-ELE-582,Electronics,9277.05,1,9277.05
ORD-100046,1,PROD-APP-148,Apparel,939.32,1,939.32
ORD-100047,1,PROD-APP-453,Apparel,655.86,1,655.86
ORD-100048,1,PROD-HOM-903,Home & Kitchen,1718.42,1,1718.42
ORD-100048,2,PROD-GRO-406,Groceries,1177.81,1,1177.81
ORD-100049,1,PROD-BEA-367,Beauty & Personal Care,801.53,1,801.53
ORD-100050,1,PROD-APP-263,Apparel,1838.79,1,1838.79
ORD-100050,2,PROD-GRO-456,Groceries,1112.68,1,1112.68
ORD-100051,1,PROD-APP-206,Apparel,918.12,1,918.12
ORD-100051,2,PROD-GRO-698,Groceries,1123.62,1,1123.62
ORD-100052,1,PROD-HOM-753,Home & Kitchen,1388.15,1,1388.15
ORD-100053,1,PROD-APP-748,Apparel,497.86,1,497.86
ORD-100053,2,PROD-BEA-220,Beauty & Personal Care,1647.12,1,1647.12
ORD-100054,1,PROD-BEA-789,Beauty & Personal Care,1117.26,1,1117.26
ORD-100055,1,PROD-GRO-966,Groceries,426.01,2,852.02
ORD-100056,1,PROD-GRO-983,Groceries,661.67,1,661.67
ORD-100057,1,PROD-GRO-554,Groceries,875.23,1,875.23
ORD-100058,1,PROD-APP-910,Apparel,1441.44,1,1441.44
ORD-100059,1,PROD-APP-598,Apparel,2388.35,1,2388.35
ORD-100060,1,PROD-APP-363,Apparel,1949.35,1,1949.35
ORD-100061,1,PROD-ELE-812,Electronics,2210.89,1,2210.89
ORD-100061,2,PROD-APP-990,Apparel,1880.49,1,1880.49
ORD-100062,1,PROD-HOM-225,Home & Kitchen,2313.46,1,2313.46
ORD-100062,2,PROD-HOM-493,Home & Kitchen,3502.45,1,3502.45
ORD-100063,1,PROD-HOM-161,Home & Kitchen,1743.26,1,1743.26
ORD-100064,1,PROD-ELE-221,Electronics,8880.54,1,8880.54
ORD-100064,2,PROD-BEA-896,Beauty & Personal Care,1778.75,1,1778.75
ORD-100065,1,PROD-BEA-357,Beauty & Personal Care,276.33,1,276.33
ORD-100066,1,PROD-APP-241,Apparel,563.06,2,1126.12
ORD-100067,1,PROD-APP-214,Apparel,1011.53,1,1011.53
ORD-100067,2,PROD-ELE-401,Electronics,3978.5,1,3978.5
ORD-100068,1,PROD-ELE-565,Electronics,2520.29,1,2520.29
ORD-100069,1,PROD-APP-842,Apparel,1915.76,1,1915.76
ORD-100070,1,PROD-HOM-773,Home & Kitchen,874.56,1,874.56
ORD-100071,1,PROD-HOM-302,Home & Kitchen,3942.6,1,3942.6
ORD-100072,1,PROD-GRO-589,Groceries,1062.3,1,1062.3
ORD-100073,1,PROD-GRO-310,Groceries,610.51,1,610.51
ORD-100074,1,PROD-APP-737,Apparel,1137.25,1,1137.25
ORD-100074,2,PROD-BEA-913,Beauty & Personal Care,580.95,1,580.95
ORD-100075,1,PROD-ELE-898,Electronics,12214.58,2,24429.16
ORD-100075,2,PROD-APP-748,Apparel,2096.92,1,2096.92
ORD-100076,1,PROD-GRO-918,Groceries,1035.38,1,1035.38
ORD-100077,1,PROD-ELE-572,Electronics,13892.76,1,13892.76
ORD-100078,1,PROD-ELE-493,Electronics,6961.9,1,6961.9
ORD-100078,2,PROD-APP-847,Apparel,1517.06,1,1517.06
ORD-100078,3,PROD-ELE-260,Electronics,12249.72,1,12249.72
ORD-100079,1,PROD-ELE-164,Electronics,1744.13,1,1744.13
ORD-100080,1,PROD-HOM-550,Home & Kitchen,2195.1,1,2195.1
ORD-100081,1,PROD-APP-295,Apparel,2156.4,1,2156.4
ORD-100082,1,PROD-ELE-476,Electronics,12836.8,1,12836.8
ORD-100083,1,PROD-APP-831,Apparel,2399.84,1,2399.84
ORD-100084,1,PROD-APP-441,Apparel,2195.13,1,2195.13
ORD-100085,1,PROD-GRO-670,Groceries,591.18,1,591.18
ORD-100085,2,PROD-HOM-232,Home & Kitchen,969.98,1,969.98
ORD-100086,1,PROD-APP-855,Apparel,2417.17,1,2417.17
ORD-100087,1,PROD-APP-517,Apparel,603.47,1,603.47
ORD-100087,2,PROD-ELE-898,Electronics,1820.72,1,1820.72
ORD-100087,3,PROD-ELE-844,Electronics,6975.78,1,6975.78
ORD-100088,1,PROD-GRO-587,Groceries,690.56,2,1381.12
ORD-100089,1,PROD-APP-878,Apparel,2274.2,1,2274.2
ORD-100089,2,PROD-ELE-769,Electronics,12247.68,1,12247.68
ORD-100089,3,PROD-ELE-410,Electronics,9127.86,1,9127.86
ORD-100090,1,PROD-HOM-962,Home & Kitchen,2305.9,1,2305.9
ORD-100091,1,PROD-BEA-912,Beauty & Personal Care,1595.24,2,3190.48
ORD-100092,1,PROD-HOM-535,Home & Kitchen,2909.45,1,2909.45
ORD-100093,1,PROD-ELE-221,Electronics,10128.76,1,10128.76
ORD-100094,1,PROD-GRO-850,Groceries,633.84,1,633.84
ORD-100095,1,PROD-HOM-544,Home & Kitchen,2226.79,1,2226.79
ORD-100096,1,PROD-HOM-230,Home & Kitchen,4374.87,1,4374.87
ORD-100096,2,PROD-ELE-754,Electronics,2889.4,2,5778.8
ORD-100097,1,PROD-ELE-173,Electronics,8450.64,1,8450.64
ORD-100097,2,PROD-GRO-862,Groceries,837.62,1,837.62
ORD-100098,1,PROD-HOM-997,Home & Kitchen,1055.23,2,2110.46
ORD-100099,1,PROD-APP-300,Apparel,613.38,1,613.38
ORD-100100,1,PROD-APP-232,Apparel,1918.58,1,1918.58
ORD-100100,2,PROD-HOM-525,Home & Kitchen,3480.32,1,3480.32
ORD-100101,1,PROD-ELE-588,Electronics,6252.71,1,6252.71
ORD-100102,1,PROD-APP-599,Apparel,1998.34,1,1998.34
ORD-100103,1,PROD-GRO-711,Groceries,316.49,1,316.49
ORD-100103,2,PROD-ELE-927,Electronics,8199.03,1,8199.03
ORD-100104,1,PROD-APP-416,Apparel,2341.4,1,2341.4
ORD-100105,1,PROD-APP-469,Apparel,1547.86,1,1547.86
ORD-100106,1,PROD-APP-467,Apparel,1231.75,1,1231.75
ORD-100107,1,PROD-APP-752,Apparel,1161.56,1,1161.56
